id,name,number
1,Computer Science,122
2,Civil Engineering,192
3,Chemical Engineering,161
4,Biomedical Engineering,163
5,Aerospace Engineering,134
6,Environmental Science,101
7,Robotics,174
8,Cybersecurity,125
9,Biotechnology,162
10,Materials Science,132
11,Telecommunications,172
12,Urban Planning,191
13,Software Engineering,121
14,Psychology,53
15,Sociology,54
16,Political Science,52
17,International Relations,55
18,Journalism,61
19,Music Arts,25
20,History and archaeology,32
21,Philosophy,33
22,Philology,35
23,Theology,41
24,Economics,51
25,Law,81
26,Hydropower,145
27,Medicine,222
28,Tourism,242
29,Applied Mathematics,113
